Sample ID,Sample Name,360,370,380,390,400,410,420,430,440,450,460,470,480,490,500,510,520,530,540,550,560,570,580,590,600,610,620,630,640,650,660,670,680,690,700,710,720,730,740,L,a,b
1,White Painted Room Walls,8.86,10.72,15.31,26.4,45.73,63.22,69.71,71.68,73.28,74.54,75.16,75.47,75.98,76.65,77.45,78.5,79.56,80.38,81.15,81.68,82.04,82.2,82.44,82.5,82.55,82.68,82.62,82.73,82.8,82.85,82.85,82.91,82.83,83.11,83.04,83.07,83.07,83.18,83.14,91.99,-0.28,5.53
2,Dark Grey Floor Tiles,11.19,12.88,14.27,15.41,16.46,17.26,17.83,18.19,18.32,18.41,18.57,18.72,18.93,19.15,19.31,19.46,19.6,19.67,19.77,19.85,19.96,20.08,20.24,20.39,20.54,20.74,20.96,21.25,21.58,21.94,22.21,22.58,22.87,23.05,23.43,23.77,24.18,24.65,25.16,51.76,0.82,2.97
3,White Painted Room Ceiling,9.38,11.17,15.65,26.65,46.03,63.62,70.17,72.14,73.66,74.97,75.69,75.97,76.54,77.2,78.07,79.21,80.34,81.18,81.99,82.65,83.09,83.3,83.59,83.75,83.79,83.95,84.03,84.13,84.33,84.44,84.4,84.44,84.55,84.82,84.8,84.9,84.95,85.03,85.07,92.42,-0.09,5.88
4,Light Brown Wooden Doors,8.22,8.85,10.28,12.97,16.9,19.76,20.5,21.01,21.55,22.59,24.06,25.97,27.96,29.73,32.04,34.97,37.41,38.42,38.24,37.65,38.77,42.51,47.14,50.39,51.4,51.21,50.94,50.82,51.0,51.65,52.65,53.22,52.89,52.17,50.61,49.4,49.85,51.52,56.07,69.74,5.69,24.04
5,Whiteboard Door,8.41,10.21,14.2,23.96,44.05,68.84,82.47,84.84,84.85,84.75,84.67,84.37,84.16,83.85,83.57,83.47,83.16,82.73,82.52,82.07,81.72,81.38,81.01,80.6,80.14,79.74,79.32,78.95,78.51,78.13,77.63,77.21,76.71,76.35,75.71,75.2,74.75,74.32,73.69,92.53,-1.56,-1.38
6,Dark Grey Floor Tiles Nonslip,12.59,14.05,15.43,16.8,18.18,19.19,19.85,20.38,20.75,21.04,21.23,21.34,21.49,21.77,22.08,22.47,22.86,23.1,23.27,23.37,23.25,22.8,22.49,22.49,22.77,23.26,23.49,23.72,24.13,24.74,25.67,26.87,28.47,30.26,31.97,33.69,34.92,36.07,37.07,54.9,-0.4,3.48
7,Light Grey Floor Tiles Nonslip,16.21,18.61,21.1,23.76,26.64,29.04,30.81,32.43,33.73,34.69,35.51,36.21,36.94,37.79,38.62,39.43,40.16,40.75,41.38,41.97,42.32,42.35,42.49,42.79,43.2,43.75,44.1,44.33,44.71,45.33,46.16,47.27,48.67,50.45,52.14,53.75,54.95,55.91,56.53,70.38,0.2,8.57
8,White Painted Corridor Walls,8.53,10.39,14.92,25.83,45.03,62.51,69.08,70.91,72.48,73.66,74.34,74.56,75.01,75.7,76.5,77.42,78.4,79.18,79.82,80.25,80.58,80.73,80.95,81.0,80.95,81.04,81.01,81.07,81.09,81.16,81.02,81.04,80.96,81.09,80.96,81.03,80.95,80.98,80.86,91.39,-0.4,5.18
9,Orange Painted Corridor Walls,5.15,5.2,5.39,5.65,5.9,6.06,6.21,6.43,6.82,7.37,7.9,8.26,8.55,8.98,9.69,10.69,12.17,13.8,15.32,16.54,18.58,22.99,28.77,33.42,36.5,38.57,39.97,41.07,42.06,43.03,44.0,44.99,46.04,47.21,48.31,49.36,50.28,50.98,51.36,52.77,23.9,34.17
10,Purple Painted Corridor Walls,5.43,6.71,9.5,14.55,20.65,24.01,24.6,24.46,24.18,23.82,23.45,23.05,22.44,21.72,20.77,19.81,18.9,18.18,17.54,16.59,15.78,15.79,16.29,16.49,16.28,16.08,16.3,17.01,18.04,18.89,19.29,19.03,18.24,17.61,17.61,17.99,18.41,18.9,20.02,49.31,0.74,-10.84
11,Dark Grey Tiles On Lift Lobby,10.8,12.24,13.7,15.3,17.06,18.4,19.32,19.95,20.33,20.56,20.69,20.72,20.83,21.05,21.31,21.58,21.75,21.73,21.66,21.66,21.55,21.14,20.78,20.8,21.17,21.61,21.85,22.0,22.41,23.2,24.37,25.72,27.36,29.28,31.22,32.98,34.39,35.52,36.4,53.42,-0.49,1.96
12,Light Grey Tiles On Lift Lobby,20.45,23.47,26.26,29.23,32.56,35.09,36.88,38.22,39.2,40.01,40.79,41.38,42.12,42.83,43.53,44.13,44.64,45.02,45.44,45.82,45.94,45.74,45.65,45.83,46.3,46.81,47.1,47.34,47.74,48.34,49.26,50.37,51.93,53.79,55.57,57.1,58.25,59.13,59.71,73.01,-0.35,6.15
13,Lift Interior Door,33.5,34.45,35.38,36.03,36.73,37.24,37.74,38.22,38.68,39.16,39.63,39.97,40.3,40.63,40.94,41.25,41.48,41.71,42.0,42.18,42.4,42.61,42.84,43.01,43.26,43.49,43.66,43.94,44.13,44.38,44.53,44.64,44.85,45.08,45.12,45.43,45.58,45.88,45.94,70.96,0.43,3.57
14,Grey Painted Door Dry Riser,7.66,8.58,10.87,16.18,24.75,31.24,33.04,33.61,34.06,34.36,34.54,34.48,34.46,34.59,34.69,34.86,35.02,35.08,35.19,35.26,35.3,35.32,35.4,35.36,35.26,35.22,35.14,35.0,34.94,34.83,34.72,34.6,34.48,34.44,34.36,34.31,34.23,34.11,33.99,65.81,-0.39,1.38
15,White Painted Door,7.67,8.57,10.82,16.96,31.71,53.15,67.02,70.88,72.41,73.47,74.0,74.14,74.43,74.86,75.47,76.21,76.89,77.38,77.97,78.57,79.24,79.98,80.7,81.08,81.16,81.17,81.1,80.98,80.87,80.78,80.6,80.45,80.32,80.25,80.13,79.95,79.84,79.79,79.63,90.97,0.37,5.1
16,Black Painted Door,4.91,4.9,4.88,4.83,4.8,4.77,4.76,4.71,4.69,4.67,4.67,4.65,4.63,4.63,4.62,4.61,4.59,4.59,4.6,4.59,4.58,4.57,4.58,4.57,4.58,4.57,4.56,4.58,4.56,4.57,4.58,4.56,4.56,4.56,4.56,4.59,4.57,4.61,4.59,25.54,0.06,-0.45
17,Dark Grey Stone Tiles,17.48,18.35,19.5,20.54,21.51,22.25,22.81,23.52,23.9,24.15,24.27,24.37,24.37,24.62,24.84,25.0,25.15,25.17,25.21,25.38,25.45,25.42,25.5,25.5,25.38,25.31,25.16,25.02,24.87,24.79,24.58,24.37,24.29,24.12,24.01,23.95,23.82,23.64,23.38,57.23,-0.61,2.0
18,Light Grey Stone Tiles,19.82,20.93,22.18,23.22,24.18,24.96,25.65,26.12,26.58,26.79,26.99,26.97,27.29,27.25,27.38,27.71,28.05,28.07,27.96,27.99,28.16,28.16,28.18,28.21,28.16,28.11,28.04,27.92,27.84,27.82,27.62,27.46,27.38,27.17,27.13,27.09,27.0,26.91,26.71,59.81,-0.51,1.97
19,Dark Grey Stone Tiles,18.05,19.25,20.6,21.88,23.06,23.87,24.5,25.12,25.38,25.62,25.83,25.89,26.04,26.22,26.38,26.5,26.68,26.76,26.81,26.85,26.93,26.91,26.9,26.92,26.83,26.71,26.61,26.49,26.41,26.24,26.11,25.93,25.82,25.74,25.65,25.55,25.39,25.28,25.13,58.66,-0.68,1.85
20,Yellow Painted Stone Tiles,5.78,6.35,7.31,8.46,9.38,9.64,9.62,9.6,9.64,9.73,9.89,10.04,10.29,10.62,12.03,16.98,27.22,38.85,48.13,54.39,59.28,64.09,68.58,71.65,73.27,74.35,74.98,75.52,76.06,76.45,76.71,76.86,77.07,77.3,77.44,77.56,77.73,77.87,77.96,75.24,19.47,63.99
